full_name,owner_type,stargazers_count,followers_count
slfan1989/3FS,User,0,36
Run-Lin/3FS,User,0,0
bobhan1/3FS,User,0,8
cff1038/3FS,User,0,0
sowelswl/3FS,User,0,3
BH3GEI/3FS,User,0,42
Hardtodefine/3FS,User,0,0
alycat-lee/3FS,User,0,0
ericqzhao/3FS,User,0,2
cchenax/3FS,User,0,0
yunfeiguan/3FS,User,0,9
SYSUeric66/3FS,User,0,2
Howar-sz/3FS,User,0,0
Git-Yang/3FS,User,0,18
xinxiangbobby/3FS,User,0,1
bruinxiong/3FS,User,0,184
cnliao/3FS,User,0,7
zhaomenglin88/3FS,User,0,1
zsjtiger/3FS,User,0,0
Myprivateclonelibrary/3FS,User,0,7
liyorozuya/3FS,User,0,9
mfkiwl/3FS,User,0,335
bill-cc/3FS,User,0,3
aivoyager8/3FS,User,0,0
chenbk85/3FS,User,0,34
Litianye/3FS,User,0,2
aschenmaker/3FS,User,0,24
denmark111/3FS,User,0,6
CGH0S7/3FS,User,0,11
201341/3FS,User,0,13
whutbd/3FS,User,0,7
liting68/3FS,User,0,1
guojidan/3FS,User,0,17
Ivanbeethoven/3FS,User,0,2
glide-the/3FS,User,0,28
lineCode/3FS,User,0,49
codeloverforever/3FS,User,0,0
Unexpectedlyc/3FS,User,0,0
n4rdoo/3FS,User,0,0
anysql/3FS,User,0,53
wanghenshui/3FS,User,0,188
talenterj/3FS,User,0,1
bzheng888/3FS,User,0,5
altyni86/3FS,User,0,2
zouhuajian/3FS,User,0,21
keven-huang/3FS,User,0,0
IRONICBo/3FS,User,0,22
MARD1NO/3FS,User,0,318
cccshuang/3FS,User,0,10
benny201/3FS,User,0,31
crain-cn/3FS,User,0,20
Rachelint/3FS,User,0,69
PLA888/3FS,User,0,0
Dovahkiin8625/3FS,User,0,0
apc999/3FS,User,0,309
vintmd/3FS,User,0,7
TrafalgarRicardoLu/3FS,User,0,7
LuYanFCP/3FS,User,0,62
SeanAlpha2022/3FS,User,0,0
jingcheng-WU/3FS,User,0,14
RuixiangMa/3FS,User,0,27
SimonCqk/3FS,User,0,65
botmechanic/3FS,User,0,18
JacksonYao287/3FS,User,0,3
Ramstorage/3FS,Organization,1,0
GavinChen1314/3FS,User,0,0
jiazhai/3FS,User,0,96
wtbxsjy/3FS,User,0,75
bergwolf/3FS,User,0,222
btbujiangjun/3FS,User,0,4
haiyang1987/3FS,User,0,14
kkxiaotikk/3FS,User,0,0
hyperwd/3FS,User,0,3
Wesley-yang/deepseek-3FS,User,0,41
chuandew/3FS,User,0,2
BTreeMap/3FS-2025-02-27-archive,Organization,0,0
MrWolong/3FS,User,0,7
cnStevenYu/3FS,User,0,10
TimLand/3FS,User,0,5
wxl2github/3FS,User,0,0
xawww7/3FS,User,0,0
tomscut/3FS,User,0,41
eddyzhou/3FS,User,0,54
Bingger77/3FS,User,0,0
zhaohaidao/3FS,User,0,43
Tanya-W/3FS,User,0,6
wangjiazhu/3FS,User,0,0
theGloves/3FS,User,0,8
huaixu88/3FS,User,0,0
zhouchanglin-rr/3FS,User,0,0
linyawen/3FS,User,0,3
yangcx000/3FS,User,0,5
zlw2020/3FS,Organization,0,0
mikoyandata/3FS,Organization,0,1
suryatmodulus/3FS,User,0,14
cell13/3FS,User,0,4
weedge/3FS,User,0,57
fengyenet/DEEPSEEK-3FS,User,0,0
JohnMicl/3FS,User,0,1
TKaxv-7S/3FS,User,0,143
geniusgeek/3fs,User,0,11
anzksdk/3FS,User,1,2
chenxu14/3FS,User,0,9
Crinson/3FS,User,0,0
