_id,id,likes,private,downloads,tags,pipeline_tag,library_name,createdAt,modelId
654a84cadff2f49007ce6c37,openai/whisper-large-v3,4299,False,4830765,"['transformers', 'pytorch', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",automatic-speech-recognition,transformers,2023-11-07T18:41:14.000Z,openai/whisper-large-v3
676ca1388118866906abbd7c,hexgrad/Kokoro-82M,4088,False,1981704,"['text-to-speech', 'en', 'arxiv:2306.07691', 'arxiv:2203.02395', 'base_model:yl4579/StyleTTS2-LJSpeech', 'base_model:finetune:yl4579/StyleTTS2-LJSpeech', 'doi:10.57967/hf/4329', 'license:apache-2.0', 'region:us']",text-to-speech,,2024-12-26T00:20:08.000Z,hexgrad/Kokoro-82M
638f7ae36c25af4071044105,stabilityai/stable-diffusion-2-1,3962,False,951206,"['diffusers', 'safetensors', 'stable-diffusion', 'text-to-image', 'arxiv:2112.10752', 'arxiv:2202.00512', 'arxiv:1910.09700', 'license:openrail++', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,diffusers,2022-12-06T17:24:51.000Z,stabilityai/stable-diffusion-2-1
661f97d0b00f5f1f620c4f25,meta-llama/Meta-Llama-3-8B-Instruct,3925,False,1065429,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'license:llama3', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2024-04-17T09:35:12.000Z,meta-llama/Meta-Llama-3-8B-Instruct
6698d8a0653e4babe21e1e7d,meta-llama/Llama-3.1-8B-Instruct,3872,False,6064527,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'arxiv:2204.05149', 'base_model:meta-llama/Llama-3.1-8B', 'base_model:finetune:meta-llama/Llama-3.1-8B', 'license:llama3.1', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2024-07-18T08:56:00.000Z,meta-llama/Llama-3.1-8B-Instruct
638cac3a61eb5101751a23c4,WarriorMama777/OrangeMixs,3826,False,1794,"['diffusers', 'stable-diffusion', 'text-to-image', 'dataset:Nerfgun3/bad_prompt', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,diffusers,2022-12-04T14:18:34.000Z,WarriorMama777/OrangeMixs
676c000762cee1f3abc3ed5f,deepseek-ai/DeepSeek-V3,3816,False,775641,"['transformers', 'safetensors', 'deepseek_v3', 'text-generation', 'conversational', 'custom_code', 'arxiv:2412.19437', 'autotrain_compatible', 'endpoints_compatible', 'fp8', 'region:us']",text-generation,transformers,2024-12-25T12:52:23.000Z,deepseek-ai/DeepSeek-V3
6437337f535846fc73640937,lllyasviel/ControlNet-v1-1,3804,False,0,"['license:openrail', 'region:us']",,,2023-04-12T22:41:03.000Z,lllyasviel/ControlNet-v1-1
650aedb6238a644cb93a52c3,mistralai/Mistral-7B-v0.1,3744,False,827187,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'pretrained', 'en', 'arxiv:2310.06825', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-09-20T13:03:50.000Z,mistralai/Mistral-7B-v0.1
63e3ef298de575a15a63c2b1,lllyasviel/ControlNet,3695,False,0,"['license:openrail', 'region:us']",,,2023-02-08T18:51:21.000Z,lllyasviel/ControlNet
