repository, subfield, field,openrank_2022,openrank_2023,openrank_2024
pola-rs/polars,Python Processing Framework,DATA PROCESSING AND COMPUTATION,889.08,1905.92,1809
vaexio/vaex,Python Processing Framework,DATA PROCESSING AND COMPUTATION,177.76,28.96,13.97
apache/arrow,Python Processing Framework,DATA PROCESSING AND COMPUTATION,1454.97,1860.12,1412.22
ibis-project/ibis,Python Processing Framework,DATA PROCESSING AND COMPUTATION,305.41,471.24,490.77
eakmanrq/sqlframe,Python Processing Framework,DATA PROCESSING AND COMPUTATION,,,24.62
dask/dask,Python Workflow Scaling,DATA PROCESSING AND COMPUTATION,401.54,250.36,181.55
ray-project/ray,Python Workflow Scaling,DATA PROCESSING AND COMPUTATION,3142.56,3212.47,2216.32
modin-project/modin,Python Workflow Scaling,DATA PROCESSING AND COMPUTATION,550.31,378.53,175.65
nalepae/pandarallel,Python Workflow Scaling,DATA PROCESSING AND COMPUTATION,24.93,25.08,8.14
sqlalchemy/sqlalchemy,SQL Toolkit,DATA PROCESSING AND COMPUTATION,403.1,402.17,257.89
tobymao/sqlglot,SQL Toolkit,DATA PROCESSING AND COMPUTATION,271.24,463.57,426.58
apache/airflow,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,2716.74,2864.32,2354.06
PrefectHQ/prefect,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,807.52,1206.25,1006.8
argoproj/argo-workflows,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,949.49,744.82,654.92
azkaban/azkaban,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,182.74,131.2,2.55
uber/cadence,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,230.72,267.52,399.91
dagster-io/dagster,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,1133.86,1753.04,1703.81
apache/dolphinscheduler,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,1433.33,919.92,564.13
spotify/luigi,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,39.67,33.95,23.85
flyteorg/flyte,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,294.13,413.69,533.84
kestra-io/kestra,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,72.72,223.1,390.16
mage-ai/mage-ai,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,91.18,447.1,492.1
temporalio/temporal,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,434.98,567.56,602.24
windmill-labs/windmill,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,88.26,319.79,354
Netflix/maestro,Workflow Orchestration,WORKFLOW MANAGEMENT & DATAOPS,,,20.89
celery/celery,Job Scheduling,WORKFLOW MANAGEMENT & DATAOPS,250.2,253.52,193
distribworks/dkron,Job Scheduling,WORKFLOW MANAGEMENT & DATAOPS,45.73,29.18,20.53
agronholm/apscheduler,Job Scheduling,WORKFLOW MANAGEMENT & DATAOPS,39.15,37.1,51.52
datafold/data-diff,Data Quality,WORKFLOW MANAGEMENT & DATAOPS,109.77,160.12,37.14
great-expectations/great_expectations,Data Quality,WORKFLOW MANAGEMENT & DATAOPS,908.75,1001.42,591.91
awslabs/deequ,Data Quality,WORKFLOW MANAGEMENT & DATAOPS,12.41,55.38,43.12
unionai-oss/pandera,Data Quality,WORKFLOW MANAGEMENT & DATAOPS,109.21,135.04,124.47
sodadata/soda-core,Data Quality,WORKFLOW MANAGEMENT & DATAOPS,265.66,165.04,91.88
treeverse/lakeFS,Data Versioning,WORKFLOW MANAGEMENT & DATAOPS,542.79,613.13,416.75
projectnessie/nessie,Data Versioning,WORKFLOW MANAGEMENT & DATAOPS,230.01,200.06,174.22
iterative/dvc,Data Versioning,WORKFLOW MANAGEMENT & DATAOPS,384.13,338.23,148.07
